[2014/11/9 - 14:28:28] Tony_Zill ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
[2016/10/11 - 4:23:0] Harvey_Specter ha cambiado su nombre a {5ABAFF}Mia_Stone{FFFFFF}.
[2016/10/11 - 4:29:10] Harvey_Specter ha cambiado su nombre a {5ABAFF}Elizabeth_Reynolds{FFFFFF}.
[2016/10/12 - 4:30:0] Harvey_Specter ha cambiado su nombre a {5ABAFF}Mia_Stone{FFFFFF}.
[2016/10/12 - 5:38:22] Harvey_Specter ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
[2016/10/12 - 5:39:21] Harvey_Specter ha cambiado su nombre a {5ABAFF}Nicolas_Guevara2.0{FFFFFF}.
[2016/10/12 - 5:41:3] Nicolas_Guevara ha cambiado su nombre a {5ABAFF}Gonzalo_Bartolomeo 1{FFFFFF}.
[2016/10/12 - 5:46:21] Harvey_Specter ha cambiado su nombre a {5ABAFF}Elizabeth_/revivir 0{FFFFFF}.
[2016/10/12 - 20:46:24] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Wilhelm Fenske{FFFFFF}.
[2016/10/12 - 21:1:50] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Wilhelm Fenske{FFFFFF}.
[2016/10/12 - 21:7:31] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Benjamin_Alastre{FFFFFF}.
[2016/10/12 - 21:9:13] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Gobierno{FFFFFF}.
[2016/10/14 - 0:49:59] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Aquiles_Corro{FFFFFF}.
[2016/10/14 - 7:25:50] Fady_Saba ha cambiado su nombre a {5ABAFF}Roberto_Rojass{FFFFFF}.
[2016/10/14 - 7:26:18] Fady_Saba ha cambiado su nombre a {5ABAFF}Puta_Loca{FFFFFF}.
[2016/10/15 - 23:41:51] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Aquiles_Bailo{FFFFFF}.
[2016/10/16 - 7:24:49] Fady_Saba ha cambiado su nombre a {5ABAFF}AFK_Foro{FFFFFF}.
[2016/10/16 - 7:43:39] Nicolas_Guevara ha cambiado su nombre a {5ABAFF}Javier_SanJose{FFFFFF}.
[2016/10/16 - 16:38:20] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Elfo_MeCuliao{FFFFFF}.
[2016/10/16 - 17:38:2] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Wilhelm_Oppenheim{FFFFFF}.
[2016/10/16 - 21:7:6] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Wilhelm_Oppenheim{FFFFFF}.
[2016/10/16 - 22:11:34] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Azarel{FFFFFF}.
[2016/10/17 - 22:14:44] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Joaco_Knee{FFFFFF}.
[2016/10/17 - 22:15:32] Joaco_DeAvila ha cambiado su nombre a {5ABAFF}Joaco_Jure{FFFFFF}.
[2016/10/18 - 20:34:41] Takeshi_Yuki ha cambiado su nombre a {5ABAFF}Takeshi{FFFFFF}.
[2016/10/18 - 22:31:1] Azarel_Thawne ha cambiado su nombre a {5ABAFF}Klaus_MacTavish{FFFFFF}.
[2016/10/21 - 21:10:51] Bayron_Wazouky ha cambiado su nombre a {5ABAFF}Mike_Wazouky{FFFFFF}.
[2016/10/23 - 18:25:30] Fady_Saba ha cambiado su nombre a {5ABAFF}Afk{FFFFFF}.
[2016/10/25 - 4:2:26] Jason_Odegaard ha cambiado su nombre a {5ABAFF}Viru{FFFFFF}.
[2016/10/25 - 4:3:51] Jason_Odegaard ha cambiado su nombre a {5ABAFF}Viru{FFFFFF}.
[2016/10/25 - 17:55:49] Dreker_Vaskar ha cambiado su nombre a {5ABAFF}Jennifer_Flesth{FFFFFF}.
[2016/10/25 - 19:29:42] Jason_Odegaard ha cambiado su nombre a {5ABAFF}Viru{FFFFFF}.
[2016/10/26 - 0:17:57] Dreker_Vaskar ha cambiado su nombre a {5ABAFF}Jennifer_Ferlit{FFFFFF}.
[2016/10/26 - 1:27:28] Jason_Odegaard ha cambiado su nombre a {5ABAFF}Viru{FFFFFF}.
[2016/10/26 - 6:14:43] Harvey_Specter ha cambiado su nombre a {5ABAFF}Hola{FFFFFF}.
[2016/10/26 - 6:15:17] Nicolas_Guevara ha cambiado su nombre a {5ABAFF}Facundo_Fernendes{FFFFFF}.
[2016/10/26 - 6:15:46] Nicolas_Guevara ha cambiado su nombre a {5ABAFF}Facundo_Fernendez{FFFFFF}.
[2016/10/26 - 18:46:14] Dreker_Vaskar ha cambiado su nombre a {5ABAFF}Jennifer_Fernit{FFFFFF}.
[2016/10/26 - 21:42:56] Klaus_MacTavish ha cambiado su nombre a {5ABAFF}Azarel{FFFFFF}.
[2016/10/27 - 0:42:51] Klaus_MacTavish ha cambiado su nombre a {5ABAFF}Klaus{FFFFFF}.
[2016/10/27 - 0:44:0] Jeii_Calore ha cambiado su nombre a {5ABAFF}Jeii{FFFFFF}.
[2016/10/27 - 1:19:33] Jason_Odegaard ha cambiado su nombre a {5ABAFF}Viru{FFFFFF}.
[2016/10/27 - 4:44:58] Jason_Odegaard ha cambiado su nombre a {5ABAFF}Ernesta{FFFFFF}.
[2016/10/27 - 4:47:8] Jason_Odegaard ha cambiado su nombre a {5ABAFF}PaulPuto{FFFFFF}.
[2016/10/30 - 1:4:16] Jason_Odegaard ha cambiado su nombre a {5ABAFF}Viru{FFFFFF}.
